Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
DMART,EQ,299.0,600.0,648.9,558.3,647.8,641.6,607.18,85728445,5205258577775000.0,997334,25455640,0.2969
DMART,EQ,641.6,641.55,657.45,625.1,636.95,638.55,644.03,15817671,1018713015600000.0,230754,1980297,0.1252
DMART,EQ,638.55,637.9,648.0,628.15,635.0,634.85,639.24,4690121,299810185765000.0,82509,918026,0.1957
DMART,EQ,634.85,635.45,640.45,612.6,615.25,616.9,621.12,4865013,302177407405000.0,91530,1091968,0.2245
DMART,EQ,616.9,615.0,623.0,602.35,617.05,614.4,613.09,3535098,216734745705000.03,63894,809694,0.22899999999999998
DMART,EQ,614.4,617.2,633.4,615.1,626.0,628.8,626.77,2981122,186846302655000.0,57419,595667,0.1998
DMART,EQ,628.8,632.9,637.0,622.4,624.0,628.25,631.74,2407007,152060329890000.0,46378,853427,0.3546
DMART,EQ,628.25,624.2,635.0,622.2,634.95,631.85,629.89,1324054,83400994485000.0,22366,407697,0.3079
DMART,EQ,631.85,634.4,652.3,630.0,637.3,637.85,639.97,2075789,132844957030000.0,36350,525707,0.25329999999999997
DMART,EQ,637.85,638.0,643.0,633.0,635.0,634.25,636.91,992545,63215734195000.01,23829,431552,0.43479999999999996
DMART,EQ,634.25,636.0,645.1,628.3,633.0,632.15,635.45,820437,52134654775000.0,18085,288605,0.3518
DMART,EQ,632.15,632.0,668.4,630.2,663.9,664.4,654.46,5166823,338146518560000.0,75897,1084664,0.20989999999999998
DMART,EQ,664.4,665.9,761.35,664.0,758.9,751.2,722.72,16504569,1192823014680000.0,249684,1925387,0.1167
DMART,EQ,751.2,769.0,806.9,759.05,777.7,774.1,789.07,14333464,1131015150800000.0,226380,1663038,0.11599999999999999
DMART,EQ,774.1,778.9,791.1,768.35,778.0,778.55,780.12,4283589,334172653140000.0,77233,536186,0.1252
DMART,EQ,778.55,779.0,782.9,755.0,758.0,762.2,766.28,2435513,186627848295000.0,45432,364931,0.14980000000000002
DMART,EQ,762.2,756.9,806.9,756.0,780.5,783.25,788.52,6262741,493829468085000.06,114670,769821,0.1229
DMART,EQ,783.25,785.9,789.7,766.6,773.75,774.05,774.37,2786771,215798068130000.03,64792,1534411,0.5506000000000001
DMART,EQ,774.05,774.9,774.9,725.1,732.0,730.15,740.24,4750180,351626261365000.0,128369,2535888,0.5339
DMART,EQ,730.15,735.0,752.0,722.0,736.0,732.8,736.68,2052184,151180095280000.0,46838,529283,0.2579
DMART,EQ,732.8,740.0,765.0,732.4,753.45,756.3,751.83,3218061,241943489430000.03,63725,826302,0.25680000000000003
DMART,EQ,756.3,760.0,765.0,739.0,742.5,743.2,751.08,1237439,92941440000000.0,27577,386299,0.3122
DMART,EQ,743.2,748.0,748.0,724.15,725.2,726.3,733.21,1249610,91622370880000.0,24345,575519,0.4606
DMART,EQ,726.3,731.0,739.9,721.15,735.0,734.8,732.76,1519949,111376273075000.0,29142,580108,0.38170000000000004
DMART,EQ,734.8,736.45,753.95,731.0,746.0,747.9,747.28,2080565,155475817165000.0,49463,669426,0.32180000000000003
DMART,EQ,747.9,749.0,749.7,736.1,739.25,740.1,740.92,614735,45546757670000.0,12951,313189,0.5095000000000001
DMART,EQ,740.1,743.85,747.0,735.0,736.15,736.5,739.17,516172,38153935295000.0,10952,229610,0.4448
DMART,EQ,736.5,737.25,762.9,737.25,749.65,752.3,750.44,1808851,135743366705000.0,40605,781262,0.4319
DMART,EQ,752.3,753.0,762.0,746.8,758.5,756.85,754.74,1083002,81738652595000.0,24359,517897,0.4782
DMART,EQ,756.85,762.2,793.0,762.2,772.0,773.25,780.32,2607954,203503096050000.0,43004,538434,0.2065
DMART,EQ,773.25,778.0,814.4,766.1,806.55,808.9,796.1,4332891,344941808670000.0,72556,1067044,0.2463
DMART,EQ,808.9,823.65,824.5,770.2,780.05,780.15,788.35,3972924,313206904040000.0,72004,962974,0.24239999999999998
DMART,EQ,780.15,782.9,793.0,775.6,780.0,780.05,783.09,1199297,93916120925000.0,32723,345615,0.2882
DMART,EQ,780.05,781.9,795.0,780.0,789.0,790.85,788.12,1251054,98597958095000.0,22605,325958,0.2605
DMART,EQ,790.85,789.7,790.5,756.0,763.0,761.8,773.79,1038372,80347684240000.0,25110,485856,0.4679
DMART,EQ,761.8,763.9,768.0,736.7,752.8,751.8,754.67,1137225,85822826775000.0,25970,412172,0.3624
DMART,EQ,751.8,755.5,761.45,744.0,750.2,752.15,753.35,617269,46502000570000.0,15677,193827,0.314
DMART,EQ,752.15,752.1,757.9,741.0,751.4,750.4,750.41,600525,45064276855000.0,13796,182949,0.30460000000000004
DMART,EQ,750.4,751.7,756.9,742.9,743.65,744.9,748.83,458274,34316746089999.996,11883,129806,0.2832
DMART,EQ,744.9,739.95,748.0,724.5,730.0,727.45,737.5,698857,51540534275000.0,16108,293978,0.4207
DMART,EQ,727.45,730.0,738.65,713.65,726.95,722.9,725.04,686573,49779394120000.0,21237,253482,0.36920000000000003
DMART,EQ,722.9,729.4,734.5,720.1,721.0,721.55,724.23,361363,26170891700000.0,10860,162397,0.44939999999999997
DMART,EQ,721.55,724.95,725.0,691.55,708.0,708.4,707.64,1362902,96444890170000.0,27324,780365,0.5726
DMART,EQ,708.4,710.4,722.9,701.0,715.05,714.2,706.17,748251,52839093980000.0,18942,328471,0.439
DMART,EQ,714.2,720.0,720.0,705.5,712.55,712.4,712.94,508214,36232690325000.0,15610,227223,0.4471
DMART,EQ,712.4,714.0,732.0,709.45,713.0,714.9,718.91,790476,56828500010000.0,22517,367123,0.4644
DMART,EQ,714.9,715.0,719.75,710.0,715.0,714.8,714.26,307830,21987002100000.0,8653,115743,0.376
DMART,EQ,714.8,715.0,742.85,710.0,729.1,727.85,730.47,912185,66631987765000.0,21565,217550,0.23850000000000002
DMART,EQ,727.85,731.8,750.8,726.4,749.0,745.15,743.33,883930,65705374550000.0,20355,338701,0.3832
DMART,EQ,745.15,749.9,782.0,745.0,781.0,776.85,769.35,1557053,119791717165000.02,40650,466813,0.2998
DMART,EQ,776.85,783.85,794.6,776.85,779.5,779.65,785.29,738963,58029867070000.01,16363,251937,0.34090000000000004
DMART,EQ,779.65,782.7,811.0,775.3,793.0,789.75,795.0,1662267,132150027180000.0,34986,516069,0.3105
DMART,EQ,789.75,792.8,800.5,772.55,776.0,775.35,783.51,761302,59649091545000.01,20907,236797,0.311
DMART,EQ,775.35,777.0,784.5,771.25,775.0,774.3,776.61,335268,26037254695000.0,8123,93776,0.2797
DMART,EQ,774.3,776.95,799.8,768.05,788.1,790.25,789.27,1170440,92379367160000.0,25184,403406,0.3447
